saved_at_utc,saved_at_manila,target_manila,target_utc,frozen_manila,pagasa_exact_temperature,v21_final,v21_estimated,v22_final,metar_last_residual,metar_residual_ewma,pagasa_residual,pagasa_ewma,pagasa_observation_number,weather_regime,convective_score,convective_risk,station_spread,network_change_5m,network_change_15m,ipar_temperature,itag_temperature,ipas_temperature,sonoff_temperature,sonoff_humidity,source
2026-08-24T00:57:00Z,2026-08-24 08:57:00,2026-08-24 09:00,2026-08-24 01:00Z,2026-08-24 08:55:30,31.1,31.0,31.47,,,,-0.37,-0.37,1,convective,3,moderate,0.9,0.01,0.34,31.8333333333333,32.1,31.8,,,PAGASA_phone_historical
2026-08-25T03:57:00Z,2026-08-25 11:57:00,2026-08-25 12:00,2026-08-25 04:00Z,2026-08-25 11:55:30,31.4,32.0,31.59,,,,-0.19,-0.31,2,stable,1,low,0.57,-0.04,-0.22,31.7777777777778,31.8,32.9,,,PAGASA_phone_historical
2026-08-25T04:57:00Z,2026-08-25 12:57:00,2026-08-25 13:00,2026-08-25 05:00Z,2026-08-25 12:55:30,30.9,32.0,31.82,,,,-0.92,-0.52,3,convective,4,moderate,1.07,-0.36,-0.48,32.2777777777778,31.6,33.2,,,PAGASA_phone_historical
2026-08-25T05:57:00Z,2026-08-25 13:57:00,2026-08-25 14:00,2026-08-25 06:00Z,2026-08-25 13:55:30,30.5,31.0,30.85,,,,-0.35,-0.46,4,stable,1,low,0.66,-0.07,-0.21,31.2222222222222,30.9,31.7,,,PAGASA_phone_historical
2026-08-26T02:57:21Z,2026-08-26 10:57:21,2026-08-26 11:00,2026-08-26 03:00Z,2026-08-26 10:55:30,32.0,33.0,33.46,33.0,-1.05,-0.56,-1.46,-0.81,5,heating,1,low,1.22,0.32,0.34,33.7777777777778,32.9,33.9,29.6,72.6,PAGASA_phone
2026-08-27T03:57:09Z,2026-08-27 11:57:09,2026-08-27 12:00,2026-08-27 04:00Z,2026-08-27 11:55:30,31.6,32.0,32.15,32.0,-0.59,-0.18,-0.55,-0.72,6,stable,1,low,0.8,0.02,0.22,32.5555555555556,32.1,33.0,29.6,81.3,PAGASA_phone
2026-08-27T05:57:57Z,2026-08-27 13:57:57,2026-08-27 14:00,2026-08-27 06:00Z,2026-08-27 13:55:30,31.9,32.0,32.35,32.0,-0.46,-0.33,-0.45,-0.63,7,outflow,5,high,0.88,-0.31,0.21,32.4444444444444,31.9,33.2,30.0,78.1,PAGASA_phone
2026-08-30T01:57:11Z,2026-08-30 09:57:11,2026-08-30 10:00,2026-08-30 02:00Z,2026-08-30 09:55:30,29.4,29.0,29.11,29.0,0.51,0.87,0.29,-0.31,8,stable,1,low,0.68,0.03,-0.16,29.4444444444444,29.1,30.1,28.1,82.6,PAGASA_phone
2026-08-31T01:56:51Z,2026-08-31 09:56:51,2026-08-31 10:00,2026-08-31 02:00Z,2026-08-31 09:55:30,31.9,32.0,31.6,32.0,0.5,0.79,0.3,-0.1,9,stable,1,low,0.57,0.04,0.31,31.7777777777778,31.9,33.0,29.6,75.2,PAGASA_phone
2026-08-31T03:57:08Z,2026-08-31 11:57:08,2026-08-31 12:00,2026-08-31 04:00Z,2026-08-31 11:55:30,32.2,32.0,32.22,32.0,0.4,0.58,-0.02,-0.07,10,stable,1,low,1.37,0.1,0.34,32.6111111111111,31.9,33.8,30.2,71.2,PAGASA_phone
2026-08-31T04:56:58Z,2026-08-31 12:56:58,2026-08-31 13:00,2026-08-31 05:00Z,2026-08-31 12:55:30,32.8,33.0,32.62,33.0,-0.22,-0.22,0.18,0.02,11,stable,1,low,0.57,-0.07,-0.02,32.9444444444444,32.9,34.0,30.8,70.1,PAGASA_phone
