observation_utc,temperature,dew_point,pressure,wind_direction,wind_speed_kmh,prediction_target_utc,frozen_estimate,synop_error,synop_absolute_error,predicted_metar,synop_rounded_metar,prediction_match,raw_synop
2026-08-20T03:00:00+00:00,31.8,26.4,1010.9,270,25.2,2026-08-20 03:00Z,31.52,-0.28,0.28,32,32,matched,AAXX 20031 98429 42560 22707 10318 20264 40109 58003 82130 333 90700 91112==
2026-08-20T06:00:00+00:00,31.2,26.4,1009.1,270,28.8,2026-08-20 06:00Z,31.58,0.38,0.38,32,31,matched,AAXX 20061 98429 42560 22708 10312 20264 40091 57018 82201==
2026-08-20T09:00:00+00:00,30.6,26.2,1009.1,270,21.6,2026-08-20 09:00Z,30.51,-0.09,0.09,31,31,matched,AAXX 20091 98429 42560 62706 10306 20262 40091 55000 83238==
2026-08-20T12:00:00+00:00,28.9,25.4,1010.9,260,14.4,2026-08-20 12:00Z,28.6,-0.3,0.3,29,29,matched,AAXX 20121 98429 42560 32604 10289 20254 40109 52018 83430 333 10325 58015==
2026-08-20T15:00:00+00:00,27.8,26.1,1011.6,250,10.8,2026-08-20 15:00Z,27.66,-0.14,0.14,28,28,matched,AAXX 20151 98429 42560 22503 10278 20261 40116 50007 81130==
2026-08-20T18:00:00+00:00,27.6,26.2,1010.5,130,3.6,2026-08-20 18:00Z,26.6,-1.0,1.0,27,28,matched,AAXX 20181 98429 42560 21301 10276 20262 40105 57011 82400==
2026-08-20T21:00:00+00:00,28.0,25.9,1009.9,240,10.8,2026-08-20 21:00Z,26.8,-1.2,1.2,27,28,matched,AAXX 20211 98429 41560 32403 10280 20259 40099 56006 72580 82530 333 56/6/==
2026-08-21T00:00:00+00:00,29.5,27.2,1011.2,260,18.0,,,,,,,unmatched,AAXX 21001 98429 41560 12605 10295 20272 40112 52013 70180 81101 333 20270 58000 81825==
2026-08-21T03:00:00+00:00,31.3,26.7,1010.8,260,28.8,2026-08-21 03:00Z,32.33,1.03,1.03,32,31,matched,AAXX 21031 98429 42560 32608 10313 20267 40108 58004 82230 333 56/6/==
2026-08-21T06:00:00+00:00,31.5,27.3,1009.3,270,28.8,2026-08-21 06:00Z,31.94,0.44,0.44,32,32,matched,AAXX 21061 98429 42560 62708 10315 20273 40093 57015 85238 333 56//6==
2026-08-21T09:00:00+00:00,30.4,26.7,1009.0,260,25.2,2026-08-21 09:00Z,30.62,0.22,0.22,31,30,matched,AAXX 21091 98429 41559 72607 10304 20267 40090 55003 70522 87238==
2026-08-21T12:00:00+00:00,29.1,26.4,1009.9,250,18.0,2026-08-21 12:00Z,28.64,-0.46,0.46,29,29,matched,AAXX 21121 98429 41559 22505 10291 20264 40099 52009 70511 81130 333 10322 59010==
