logged_at_utc,target_manila,target_utc,frozen_manila,most_likely,estimated_temperature,sigma,temp_minus_2,prob_minus_2,temp_minus_1,prob_minus_1,temp_center,prob_center,temp_plus_1,prob_plus_1,temp_plus_2,prob_plus_2,probability_sum_5,tail_probability,weather_regime,airport_bias,post_outflow_recovery,version
2026-09-04T01:55:34.382309+00:00,2026-09-04 10:00,2026-09-04 02:00Z,2026-09-04 09:55:30,28,28.44,0.6,26,0.1,27,5.8,28,48.1,29,42.2,30,3.8,100.0,0.0,heating,0.09,0,v23_probability_01
2026-09-04T02:26:28.144177+00:00,2026-09-04 10:00,2026-09-04 02:00Z,2026-09-04 09:55:30,28,28.44,0.6,26,0.1,27,5.8,28,48.1,29,42.2,30,3.8,100.0,0.0,heating,0.09,0,v23_probability_01
2026-09-04T02:55:34.180190+00:00,2026-09-04 11:00,2026-09-04 03:00Z,2026-09-04 10:55:30,29,28.59,0.6,27,3.4,28,40.6,29,49.5,30,6.4,31,0.1,100.0,0.0,outflow,0.02,0,v23_probability_01
2026-09-04T03:34:29.193430+00:00,2026-09-04 11:00,2026-09-04 03:00Z,2026-09-04 10:55:30,29,28.59,0.6,27,3.4,28,40.6,29,49.5,30,6.4,31,0.1,100.0,0.0,outflow,0.02,0,v23_probability_01
2026-09-04T03:42:18.937592+00:00,2026-09-04 11:00,2026-09-04 03:00Z,2026-09-04 10:55:30,29,28.59,0.6,27,3.4,28,40.6,29,49.5,30,6.4,31,0.1,100.0,0.0,outflow,0.02,0,v23_probability_01
2026-09-04T03:51:03.214323+00:00,2026-09-04 11:00,2026-09-04 03:00Z,2026-09-04 10:55:30,29,28.59,0.6,27,3.4,28,40.6,29,49.5,30,6.4,31,0.1,100.0,0.0,outflow,0.02,0,v23_probability_01
2026-09-04T03:55:34.414925+00:00,2026-09-04 12:00,2026-09-04 04:00Z,2026-09-04 11:55:30,28,28.2,0.6,26,0.2,27,11.9,28,57.0,29,29.3,30,1.5,99.9,0.1,outflow,-0.03,0,v23_probability_01
2026-09-04T04:55:34.482873+00:00,2026-09-04 13:00,2026-09-04 05:00Z,2026-09-04 12:55:30,27,26.71,0.6,25,2.2,26,34.1,27,54.3,28,9.3,29,0.1,100.0,0.0,stable,-0.08,1,v23_probability_01
2026-09-04T05:55:34.416878+00:00,2026-09-04 14:00,2026-09-04 06:00Z,2026-09-04 13:55:30,28,28.2,0.6,26,0.2,27,11.9,28,57.0,29,29.3,30,1.5,99.9,0.1,stable,-0.04,1,v23_probability_01
2026-09-04T06:55:34.250854+00:00,2026-09-04 15:00,2026-09-04 07:00Z,2026-09-04 14:55:30,28,27.96,0.6,26,0.7,27,21.4,28,59.4,29,17.9,30,0.5,99.9,0.1,convective,-0.01,0,v23_probability_01
2026-09-04T07:55:34.252714+00:00,2026-09-04 16:00,2026-09-04 08:00Z,2026-09-04 15:55:30,26,25.68,0.6,24,2.4,25,35.7,26,53.2,27,8.5,28,0.1,99.9,0.1,stable,-0.2,0,v23_probability_01
2026-09-04T08:55:34.250290+00:00,2026-09-04 17:00,2026-09-04 09:00Z,2026-09-04 16:55:30,26,26.45,0.6,24,0.1,25,5.6,26,47.7,27,42.7,28,4.0,100.1,-0.1,stable,0.23,0,v23_probability_01
2026-09-04T09:55:34.252303+00:00,2026-09-04 18:00,2026-09-04 10:00Z,2026-09-04 17:55:30,27,26.79,0.6,25,1.6,26,29.9,27,56.7,28,11.6,29,0.2,100.0,0.0,stable,0.39,0,v23_probability_01
2026-09-04T10:55:34.249789+00:00,2026-09-04 19:00,2026-09-04 11:00Z,2026-09-04 18:55:30,27,26.77,0.6,25,1.7,26,30.9,27,56.2,28,11.0,29,0.2,100.0,-0.0,stable,0.43,0,v23_probability_01
